## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/aligned/HG006_sorted.bam --OUTPUT data/marked/HG006_markdup.bam --METRICS_FILE data/metrics/HG006_markdup_metrics.txt --CREATE_INDEX true --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 10:08:27 PDT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
HG006_lib1	2791	931929	95719	2791	344	61894	34	0.0665	6705108

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000034	824478	0	824505
2.0	1.870302	34213	34	34191
3.0	2.627643	7883	0	7878
4.0	3.28671	2380	0	2380
5.0	3.860256	769	0	770
6.0	4.359377	215	0	215
7.0	4.793732	69	0	68
8.0	5.171725	17	0	17
9.0	5.500668	8	0	8
10.0	5.786927	3	0	3
11.0	6.036041	0	0	0
12.0	6.25283	0	0	0
13.0	6.441487	0	0	0
14.0	6.605665	0	0	0
15.0	6.748538	0	0	0
16.0	6.872872	0	0	0
17.0	6.981072	0	0	0
18.0	7.075232	0	0	0
19.0	7.157174	0	0	0
20.0	7.228482	0	0	0
21.0	7.290538	0	0	0
22.0	7.344541	0	0	0
23.0	7.391537	0	0	0
24.0	7.432434	0	0	0
25.0	7.468025	0	0	0
26.0	7.498997	0	0	0
27.0	7.52595	0	0	0
28.0	7.549406	0	0	0
29.0	7.569818	0	0	0
30.0	7.587581	0	0	0
31.0	7.60304	0	0	0
32.0	7.616492	0	0	0
33.0	7.628199	0	0	0
34.0	7.638387	0	0	0
35.0	7.647253	0	0	0
36.0	7.654968	0	0	0
37.0	7.661682	0	0	0
38.0	7.667525	0	0	0
39.0	7.67261	0	0	0
40.0	7.677035	0	0	0
41.0	7.680886	0	0	0
42.0	7.684237	0	0	0
43.0	7.687153	0	0	0
44.0	7.689691	0	0	0
45.0	7.691899	0	0	0
46.0	7.693821	0	0	0
47.0	7.695494	0	0	0
48.0	7.696949	0	0	0
49.0	7.698216	0	0	0
50.0	7.699318	0	0	0
51.0	7.700278	0	0	0
52.0	7.701112	0	0	0
53.0	7.701839	0	0	0
54.0	7.702471	0	0	0
55.0	7.703021	0	0	0
56.0	7.7035	0	0	0
57.0	7.703916	0	0	0
58.0	7.704279	0	0	0
59.0	7.704595	0	0	0
60.0	7.704869	0	0	0
61.0	7.705108	0	0	0
62.0	7.705316	0	0	0
63.0	7.705497	0	0	0
64.0	7.705655	0	0	0
65.0	7.705792	0	0	0
66.0	7.705911	0	0	0
67.0	7.706015	0	0	0
68.0	7.706105	0	0	0
69.0	7.706184	0	0	0
70.0	7.706252	0	0	0
71.0	7.706311	0	0	0
72.0	7.706363	0	0	0
73.0	7.706408	0	0	0
74.0	7.706448	0	0	0
75.0	7.706482	0	0	0
76.0	7.706511	0	0	0
77.0	7.706537	0	0	0
78.0	7.70656	0	0	0
79.0	7.706579	0	0	0
80.0	7.706596	0	0	0
81.0	7.706611	0	0	0
82.0	7.706624	0	0	0
83.0	7.706635	0	0	0
84.0	7.706645	0	0	0
85.0	7.706654	0	0	0
86.0	7.706661	0	0	0
87.0	7.706667	0	0	0
88.0	7.706673	0	0	0
89.0	7.706678	0	0	0
90.0	7.706682	0	0	0
91.0	7.706686	0	0	0
92.0	7.706689	0	0	0
93.0	7.706692	0	0	0
94.0	7.706694	0	0	0
95.0	7.706696	0	0	0
96.0	7.706698	0	0	0
97.0	7.7067	0	0	0
98.0	7.706701	0	0	0
99.0	7.706703	0	0	0
100.0	7.706704	0	0	0

